"Data";"Device ID";"Sequence number";"Timestamp"
"b92a0070010b0b0b0b6f0cb1";"0034EF62";"689";"2021-05-13 07:04:33"
"b92a0070013c3c3c3c6e0bb0";"0034EF62";"688";"2021-05-13 05:04:52"
"b92a0070013c3c3c3c6e0baf";"0034EF62";"687";"2021-05-13 03:04:51"
"b92a0070010c0c0c0c6e0cae";"0034EF62";"686";"2021-05-13 01:04:49"
"b92a0070010b0b0b0b6f0cad";"0034EF62";"685";"2021-05-12 23:04:48"
"b92a0070010b0b0b0b6f0eac";"0034EF62";"684";"2021-05-12 21:04:49"
"b92a0070010c0c0c0c700eab";"0034EF62";"683";"2021-05-12 19:04:48"
"b92a0070013d3d3d3d7011aa";"0034EF62";"682";"2021-05-12 17:04:44"
"b92a0070013d3d3d3d7010a9";"0034EF62";"681";"2021-05-12 15:04:42"
"b92a0070010b0b0b0b700ea8";"0034EF62";"680";"2021-05-12 13:04:43"
"b92a0070010b0b0b0b6f0da7";"0034EF62";"679";"2021-05-12 11:04:39"
"b92a0070010d0d0d0d6f0ca6";"0034EF62";"678";"2021-05-12 09:04:38"
"b92a0070010c0c0c0c6f0ca5";"0034EF62";"677";"2021-05-12 07:05:00"
"b92a0070010e0e0e0e6f0da4";"0034EF62";"676";"2021-05-12 05:04:56"
"b92a0070010d0d0d0d6f0ca3";"0034EF62";"675";"2021-05-12 03:04:55"
"b92a0070010e0e0e0e6d0ea2";"0034EF62";"674";"2021-05-12 01:04:53"
"b92a0070010f0f0f0f6e0ca1";"0034EF62";"673";"2021-05-11 23:04:52"
"b92a0070010e0e0e0e6c0ea0";"0034EF62";"672";"2021-05-11 22:20:26"
"b92a0070040c0c0c0c6f0e9f";"0034EF62";"671";"2021-05-11 22:17:24"
"b92a0070010c0c0c0c6f0f9e";"0034EF62";"670";"2021-05-11 21:04:50"
"b92a0070010d0d0d0d6f0f9d";"0034EF62";"669";"2021-05-11 19:04:49"
"b92a0070010d0d0d0d700f9c";"0034EF62";"668";"2021-05-11 17:04:48"
"b92a007001101010106f0e9a";"0034EF62";"666";"2021-05-11 13:04:45"
"b92a007001000000006c1199";"0034EF62";"665";"2021-05-11 12:12:38"
"b92a0070040e0e0e0e701098";"0034EF62";"664";"2021-05-11 12:09:16"
"b92a0070010e0e0e0e701297";"0034EF62";"663";"2021-05-11 11:04:44"
"b92a00700111111111701196";"0034EF62";"662";"2021-05-11 09:04:42"
"b92a007001111111116f0f95";"0034EF62";"661";"2021-05-11 07:05:04"
"b92a007001131313136f0f94";"0034EF62";"660";"2021-05-11 05:05:03"
"b92a007001111111116f0f93";"0034EF62";"659";"2021-05-11 03:04:59"
"b92a007001111111116f1092";"0034EF62";"658";"2021-05-11 01:04:57"
"b92a00700113131313701191";"0034EF62";"657";"2021-05-10 23:04:56"
"b92a00700113131313701190";"0034EF62";"656";"2021-05-10 21:04:54"
"b92a0070011212121270128f";"0034EF62";"655";"2021-05-10 19:04:53"
"b92a0070011818181870148e";"0034EF62";"654";"2021-05-10 17:04:52"
"b92a0070011313131370178d";"0034EF62";"653";"2021-05-10 15:04:53"
"b92a0070011111111170168c";"0034EF62";"652";"2021-05-10 13:04:52"
"b92a0070011313131371198b";"0034EF62";"651";"2021-05-10 11:04:48"
"b92a0070011616161671198a";"0034EF62";"650";"2021-05-10 09:05:08"
"b92a0070013d3d3d3d711789";"0034EF62";"649";"2021-05-10 07:05:06"
"b92a0070013d3d3d3d701488";"0034EF62";"648";"2021-05-10 05:05:04"
"b92a0070013c3c3c3c701387";"0034EF62";"647";"2021-05-10 03:05:04"
"b92a0070013c3c3c3c701086";"0034EF62";"646";"2021-05-10 01:05:02"
"b92a0070013d3d3d3d701385";"0034EF62";"645";"2021-05-09 23:05:01"
"b92a0070013c3c3c3c711384";"0034EF62";"644";"2021-05-09 21:04:59"
"b92a0070013d3d3d3d711983";"0034EF62";"643";"2021-05-09 19:04:58"
"b92a0070013d3d3d3d721d82";"0034EF62";"642";"2021-05-09 17:04:56"
"b92a00700118181818711b81";"0034EF62";"641";"2021-05-09 15:04:55"
"b92a00700113131313711a80";"0034EF62";"640";"2021-05-09 13:04:53"
"b92a0070011515151570187f";"0034EF62";"639";"2021-05-09 11:04:55"
"b92a007001121212126f0f7e";"0034EF62";"638";"2021-05-09 09:05:15"
"b92a0070013c3c3c3c6f0c7d";"0034EF62";"637";"2021-05-09 07:05:11"
"b92a007001111111116f0c7c";"0034EF62";"636";"2021-05-09 05:05:09"
"b92a007001111111116f0c7b";"0034EF62";"635";"2021-05-09 03:05:08"
"b92a007001111111116f0d7a";"0034EF62";"634";"2021-05-09 01:05:06"
"b92a00700112121212700f79";"0034EF62";"633";"2021-05-08 23:05:04"
"b92a00700114141414700e78";"0034EF62";"632";"2021-05-08 21:05:04"
"b92a00700113131313711577";"0034EF62";"631";"2021-05-08 19:05:02"
"b92a00700114141414711876";"0034EF62";"630";"2021-05-08 17:05:01"
"b92a00700112121212701575";"0034EF62";"629";"2021-05-08 15:04:59"
"b92a00700112121212701374";"0034EF62";"628";"2021-05-08 13:04:58"
"b92a00700110101010701173";"0034EF62";"627";"2021-05-08 11:05:18"
"b92a0070013c3c3c3c6e0b72";"0034EF62";"626";"2021-05-08 09:05:16"
"b92a0070013c3c3c3c6e0a71";"0034EF62";"625";"2021-05-08 07:05:15"
"b92a007001161616166e0970";"0034EF62";"624";"2021-05-08 05:05:13"
"b92a007001161616166e096f";"0034EF62";"623";"2021-05-08 03:05:11"
"b92a007001161616166e096e";"0034EF62";"622";"2021-05-08 01:05:10"
"b92a007001171717176f0b6d";"0034EF62";"621";"2021-05-07 23:05:09"
"b92a007001151515156f0d6c";"0034EF62";"620";"2021-05-07 21:05:10"
"b92a007001141414146f0d6b";"0034EF62";"619";"2021-05-07 19:05:06"
"b92a007001111111116f0e6a";"0034EF62";"618";"2021-05-07 17:05:07"
"b92a007001131313136e0c69";"0034EF62";"617";"2021-05-07 15:05:03"
"b92a007001121212126e0c68";"0034EF62";"616";"2021-05-07 13:05:02"
"b92a007001141414146e0c67";"0034EF62";"615";"2021-05-07 11:05:21"
"b92a007001141414146e0c66";"0034EF62";"614";"2021-05-07 09:05:20"
"b92a007001131313136e0b65";"0034EF62";"613";"2021-05-07 07:05:18"
"b92a007001171717176e0c64";"0034EF62";"612";"2021-05-07 05:05:16"
"b92a007001383838386e0c63";"0034EF62";"611";"2021-05-07 03:05:16"
"b92a007001373737376e0c62";"0034EF62";"610";"2021-05-07 01:05:14"
"b92a007001373737376e0d61";"0034EF62";"609";"2021-05-06 23:05:13"
"b92a007001383838386f0c60";"0034EF62";"608";"2021-05-06 21:05:12"
"b92a007001373737376f0c5f";"0034EF62";"607";"2021-05-06 19:05:11"
"b92a007001383838386f0c5e";"0034EF62";"606";"2021-05-06 17:05:08"
"b92a0070011b1b1b1b6f0c5d";"0034EF62";"605";"2021-05-06 15:05:10"
"b92a007001111111116f0c5c";"0034EF62";"604";"2021-05-06 13:05:12"
"b92a007001191919196f0f5b";"0034EF62";"603";"2021-05-06 11:05:25"
"b92a0070013a3a3a3a6e0f5a";"0034EF62";"602";"2021-05-06 09:05:23"
"b92a0070013a3a3a3a6e0c59";"0034EF62";"601";"2021-05-06 07:05:22"
"b92a0070013c3c3c3c6e0b58";"0034EF62";"600";"2021-05-06 05:05:21"
"b92a0070013c3c3c3c6e0a57";"0034EF62";"599";"2021-05-06 03:05:19"
"b92a0070013c3c3c3c6e0a56";"0034EF62";"598";"2021-05-06 01:05:18"
"b92a0070013c3c3c3c6e0a55";"0034EF62";"597";"2021-05-05 23:05:17"
"b92a0070013a3a3a3a6f0d54";"0034EF62";"596";"2021-05-05 21:05:14"
"b92a0070013a3a3a3a6f0c53";"0034EF62";"595";"2021-05-05 19:05:13"
"b92a00700138383838701152";"0034EF62";"594";"2021-05-05 17:05:11"
"b92a0070013a3a3a3a6f1051";"0034EF62";"593";"2021-05-05 15:05:10"
"b92a0070013a3a3a3a6f0d50";"0034EF62";"592";"2021-05-05 13:05:30"
"b92a007001181818186e0e4f";"0034EF62";"591";"2021-05-05 11:05:29"
"b92a007001212121216e0c4e";"0034EF62";"590";"2021-05-05 09:05:27"
"b92a0070011e1e1e1e6e0d4d";"0034EF62";"589";"2021-05-05 07:05:25"
